Id;Hora de início;Hora de conclusão;Email;Nome;Você declara ter mais de 18 anos e concorda em participar voluntariamente desta pesquisa sob os termos descritos?;Qual a sua idade? ;  2. Qual o seu gênero? ; Qual é o seu tipo de moradia?;Com quem você mora?;Você já tem animais de estimação?; Você já adotou ou tentou adotar um animal?; Quais são ou foram as principais dificuldades que você encontrou no processo de adoção?;"Como você buscou ou buscaria um animal para adotar? 
";" O que é mais importante para você ao escolher um animal? 
Escolha até 3 ";"Que informações sobre o animal você considera importantes antes de demonstrar interesse na adoção? 
";"O que faria você utilizar uma plataforma de adoção com mais frequência? 
";O que poderia fazer você perder a confiança ou desistir de utilizar uma plataforma de adoção?;Que tipo de informação sobre o animal você gostaria de saber antes de demonstrar interesse na adoção?;Qual é a probabilidade de você nos recomendar a um amigo ou a um colega?; Você resgata, cuida ou encaminha animais para adoção?; Qual é o seu perfil?;" Quais são as principais dificuldades para encontrar lares adequados para os animais? 
";O que uma plataforma de adoção precisaria oferecer para facilitar seu trabalho?
11;03/09/2026 23:16;03/09/2026 23:16;anonymous;;Sim, eu aceito participar.;21;Femenino; Apartamento; Com familiares ;Não; Não tenho interesse.;;;;;;;;;;;;
12;03/09/2026 23:49;03/09/2026 23:50;anonymous;;Sim, eu aceito participar.;26;Masculino; Apartamento; Sozinho(a) ;Não; Não tenho interesse.;;;;;;;;;;;;
13;04/09/2026 00:14;04/09/2026 00:18;anonymous;;Sim, eu aceito participar.;38;Masculino;Casa com quintal.; Com filhos;Sim; Sim, já adotei!;Sem dificuldades;"Protetores independentes;";"Temperamento;";"Temperamento;Idade ;Necessidades especiais;";"Informações mais completas sobre os animais;Processo de adoção mais simples;";Golpes;O máximo de histórico ;10;Não;;;
14;04/09/2026 05:41;04/09/2026 05:45;anonymous;;Sim, eu aceito participar.;23;Masculino; Apartamento; Com familiares ;Não; Sim, já adotei!;Processo de vacinação e adaptação do bichinho com o ambiente de casa.;"Redes sociais;Indicação;ONG ou abrigo;Feira de adoção;";"Porte;Temperamento;Idade;";"Porte;Sexo;Temperamento;Fotos e vídeos;";"Informações mais completas sobre os animais;Comunicação direta com o responsável pelo animal;";Falta de resposta esconder informações. ;Temperamento;8;Não;;;
15;04/09/2026 08:26;04/09/2026 08:29;anonymous;;Sim, eu aceito participar.;30;Femenino; Apartamento; Com filhos;Sim; Sim, já adotei!;Nenhum pois todos foram tirados da rua.;"Redes sociais;Indicação;ONG ou abrigo;Feira de adoção;";"Porte;Aparência;Espécie ;";"Estado de saúde;Castração;Necessidades especiais;Comportamento com crianças;Comportamento com outros animais;";"Visualização de animais próximos à minha localização;";;;7;Não;;;
16;04/09/2026 10:41;04/09/2026 10:42;anonymous;;Sim, eu aceito participar.;26;Masculino; Apartamento;Com parceiro(a);Não; Não tenho interesse.;;;;;;;;;;;;
17;04/09/2026 12:41;04/09/2026 12:44;anonymous;;Sim, eu aceito participar.;49;Masculino;Casa sem quintal ; Com filhos;Não; Sim, já adotei!;Nenhum ;" Outros ;";"Porte;Idade;Estado de saúde;";"Idade ;Porte;Estado de saúde;Vacinação;Castração;";"Comunicação direta com o responsável pelo animal;";A venda ilegal ;A saúde ;0;Não;;;
18;04/09/2026 12:59;04/09/2026 13:07;anonymous;;Sim, eu aceito participar.;29;Femenino;Casa com quintal.; Com familiares ;Sim; Sim, já adotei!;Não tive processo de adoção. Eu adotei com conhecidos.;"Sites ou aplicativos de adoção;Redes sociais;ONG ou abrigo;Feira de adoção;";"Temperamento;Estado de saúde;Histórico ;";"Sexo;Temperamento;Estado de saúde;Vacinação;Castração;Necessidades especiais;Histórico do animal;Comportamento com outros animais;Fotos e vídeos;";"Filtros de busca mais precisos ;Informações mais completas sobre os animais;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Não ser transparente quanto as informações e características do animal.;Porte, idade, temperamento e necessidades especiais;10;Não;;;
19;04/09/2026 17:46;04/09/2026 17:54;anonymous;;Sim, eu aceito participar.;26;Femenino; Apartamento; Com amigos;Não; Sim, já adotei!;nenhum, ganhei o gatinho;"Redes sociais;Indicação;";"Temperamento;";"Temperamento;Estado de saúde;Necessidades especiais;Porte;";"Filtros de busca mais precisos ;Informações mais completas sobre os animais;";não ter formas de confirmar a identidade de quem acolhe os animais ;;10;Não;;;
20;06/09/2026 17:03;06/09/2026 17:09;anonymous;;Sim, eu aceito participar.;26;Femenino; Apartamento;Com parceiro(a);Sim; Sim, já adotei!;Adaptação com outros animais, infestação de parasitas ;"Feira de adoção;Redes sociais;";"Porte;Idade;Estado de saúde;";"Comportamento com outros animais;Porte;Estado de saúde;";"Informações mais completas sobre os animais;";Informações falsas ;Se sofreu maus tratos, se tem alguma doença grave ;9;Não;;;
21;07/09/2026 18:38;07/09/2026 18:45;anonymous;;Sim, eu aceito participar.;24;Masculino; Apartamento; Com familiares ;Sim; Sim, já adotei!;Não encontrei nenhuma dificuladade, foi um processo bem simples e fácil.;"Indicação;";"Idade;Temperamento;";"Temperamento;Estado de saúde;Vacinação;Necessidades especiais;Histórico do animal;Comportamento com outros animais;";"Informações mais completas sobre os animais;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Processos de adoção muito longos e complicados me fariam perder o interesse de utilizara a plataforma.;Gostaria de saber informações sobre o temperamento e saúde do animal.;10;Não;;;
22;07/09/2026 19:36;07/09/2026 19:40;anonymous;;Sim, eu aceito participar.;23;Femenino; Apartamento; Com familiares ;Não;Tenho interesse mas nunca tentei.;Não sei possiveis dificuldades pois nunca tentei;"Sites ou aplicativos de adoção;ONG ou abrigo;Feira de adoção;";"Porte;Temperamento;Estado de saúde;";"Porte;Temperamento;Estado de saúde;Vacinação;Castração;Necessidades especiais;Comportamento com crianças;Comportamento com outros animais;Fotos e vídeos;";"Filtros de busca mais precisos ;Informações mais completas sobre os animais;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Dados rasos e incompletos;Estado de saúde atual para tomas as devidas providências ;10;Não;;;
23;07/09/2026 19:43;07/09/2026 19:47;anonymous;;Sim, eu aceito participar.;30;Femenino; Apartamento; Com familiares ;Sim; Sim, já adotei!;na verdade resgatei da rua sozinha;"ONG ou abrigo;Redes sociais;Feira de adoção;Protetores independentes;";"Espécie ;Porte;Temperamento;";"Sexo;Porte;Idade ;Estado de saúde;Temperamento;Necessidades especiais;Comportamento com outros animais;Comportamento com crianças;";"Informações mais completas sobre os animais;Visualização de animais próximos à minha localização;Filtros de busca mais precisos ;";burocracia ;sexo e porte;10;Não;;;
24;10/09/2026 18:00;10/09/2026 18:02;anonymous;;Sim, eu aceito participar.;34;Femenino;Casa com quintal.; Sozinho(a) ;Sim; Sim, já adotei!;Nenhuma;"Redes sociais;";"Porte;Temperamento;Estado de saúde;";"Idade ;Porte;Sexo;Estado de saúde;Temperamento;Vacinação;Castração;Necessidades especiais;Comportamento com crianças;Comportamento com outros animais;Localização;Fotos e vídeos;";"Informações mais completas sobre os animais;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";;;;Não;;;
25;10/09/2026 18:43;10/09/2026 18:49;anonymous;;Sim, eu aceito participar.;27;Femenino; Apartamento; Com familiares ;Não;Tenho interesse mas nunca tentei.;Nunca tentei mesmo, futuramente tenho interesse em adotar, quando tiver condições.;"Feira de adoção;Redes sociais;Indicação;";"Temperamento;Estado de saúde;Porte;";"Idade ;Porte;Temperamento;Estado de saúde;Vacinação;Castração;Necessidades especiais;Histórico do animal;Comportamento com outros animais;Localização;Fotos e vídeos;Comportamento com crianças;";"Informações claras sobre os requisitos para adoção;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;";Perder contato com o responsável.;Quanto mais informações disponíveis melhor. Basicamente oq marquei na 11.;2;Não;;;
26;10/09/2026 18:43;10/09/2026 18:51;anonymous;;Sim, eu aceito participar.;22;Masculino; Apartamento; Com familiares ;Não; Sim, já adotei!;meu processo de adoção foi pegar um gato de rua e cuidar. Não tive nenhuma dificuldade.;"Redes sociais;Sites ou aplicativos de adoção;ONG ou abrigo;Feira de adoção;";"Temperamento;Estado de saúde;Porte;";"Idade ;Porte;Temperamento;Estado de saúde;Castração;Necessidades especiais;Comportamento com crianças;Comportamento com outros animais;Fotos e vídeos;";"Filtros de busca mais precisos ;Informações mais completas sobre os animais;Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;";Se nao tivesse um meio de comunicação com o responsável atual. (ter que ir ao local e descobrir a situação real do animal);respondido anteriormente (Nao entendi a 15 sobre recomendação, mas vou colocar 10 na parceria);10;Não;;;
27;10/09/2026 20:06;10/09/2026 20:15;anonymous;;Sim, eu aceito participar.;22;Masculino;Casa com quintal.; Com familiares ;Sim;Tenho interesse mas nunca tentei.;não tentei ainda;"Sites ou aplicativos de adoção;Indicação;";"Idade;Espécie ;Aparência;";"Idade ;Porte;Sexo;Estado de saúde;Vacinação;Castração;Necessidades especiais;Comportamento com crianças;Comportamento com outros animais;Localização;Fotos e vídeos;";"Filtros de busca mais precisos ;Visualização de animais próximos à minha localização;Comunicação direta com o responsável pelo animal;";falta de informações e muita burocracia ;;10;Não;;;
28;10/09/2026 20:25;10/09/2026 20:28;anonymous;;Sim, eu aceito participar.;20;Masculino; Apartamento; Com familiares ;Sim;Tenho interesse mas nunca tentei.;Ainda não tentei adotar um animal.;"Indicação;ONG ou abrigo;Feira de adoção;";"Temperamento;Espécie ;Porte;";"Temperamento;Castração;Vacinação;Estado de saúde;Idade ;Porte;Necessidades especiais;Histórico do animal;Comportamento com crianças;Comportamento com outros animais;Fotos e vídeos;";"Processo de adoção mais simples;Comunicação direta com o responsável pelo animal;Informações claras sobre os requisitos para adoção;";Interface de usuário confusa.;Temperamento.;6;Não;;;
